Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2003,2002,1999,1996,1990
Rail Length (Kilometres),245.3,232.3,228.1,228.1,228.1,199.6,199.6,183,182,177.7,175.3,158.7,147.7,na,na,na,138.2,127.9,97.2,90.8,83,67
  Mass Rapid Transit (MRT) (Kilometres),216.5,203.5,199.3,199.3,199.3,170.8,170.8,154.2,153.2,148.9,146.5,129.9,118.9,na,na,na,109.4,109.4,89.4,83,83,67
  Light Rail Transit (LRT) (Kilometres),28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,na,na,na,28.8,18.5,7.8,7.8,-,na
MRT km Operated (Thousand Train-Kilometres),40613,39362,40883,40700,36278,34194,28795,28173,26420,26492,22465,20265,18025,na,na,na,na,na,na,na,na,na
LRT km Operated (Thousand Car-Kilometres),7019,6799,7566,7302,7233,6620,5937,4787,4435,3883,3620,3311,3303,na,na,na,na,na,na,na,na,na
Average Daily Ridership - MRT (Thousand Passenger-Trips),2100,2023,3384,3302,3122,3095,2871,2762,2623,2525,2295,2069,1782,1698,1527,1408,1321,na,na,na,na,na
Average Daily Ridership - LRT (Thousand Passenger-Trips),151,139,208,199,190,180,153,137,132,124,111,100,90,88,79,74,69,na,na,na,na,na
Average Daily Ridership - Bus (Thousand Passenger-Trips),3008,2878,4099,4037,3952,3939,3891,3751,3601,3481,3385,3199,3047,3087,2932,2833,2779,na,na,na,na,na
Average Daily Trip - Point-To-Point (P2P) Transport (Taxis And Private Hire Cars) (Thousand Daily-Trips),554,516,772,755,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
