bidding_exercise,date,year,category,premium,quota,total_bids_received,number_of_successful_bids,quarter,month,day,new_date
April 2022 Second Open Bidding Exercise,2022-04-20 00:00:00,2022,cat_a,68699.0,532.0,744.0,519.0,2,4,15,2022-04-15 00:00:00
April 2022 Second Open Bidding Exercise,2022-04-20 00:00:00,2022,cat_b,90002.0,560.0,687.0,559.0,2,4,15,2022-04-15 00:00:00
April 2022 Second Open Bidding Exercise,2022-04-20 00:00:00,2022,cat_c,52002.0,76.0,181.0,76.0,2,4,15,2022-04-15 00:00:00
April 2022 Second Open Bidding Exercise,2022-04-20 00:00:00,2022,cat_d,9801.0,404.0,539.0,355.0,2,4,15,2022-04-15 00:00:00
April 2022 Second Open Bidding Exercise,2022-04-20 00:00:00,2022,cat_e,95801.0,184.0,295.0,182.0,2,4,15,2022-04-15 00:00:00
April 2022 First Open Bidding Exercise,2022-04-06 00:00:00,2022,cat_a,72996.0,536.0,723.0,536.0,2,4,1,2022-04-01 00:00:00
April 2022 First Open Bidding Exercise,2022-04-06 00:00:00,2022,cat_b,98389.0,550.0,708.0,550.0,2,4,1,2022-04-01 00:00:00
April 2022 First Open Bidding Exercise,2022-04-06 00:00:00,2022,cat_c,54901.0,85.0,210.0,84.0,2,4,1,2022-04-01 00:00:00
April 2022 First Open Bidding Exercise,2022-04-06 00:00:00,2022,cat_d,10503.0,407.0,561.0,405.0,2,4,1,2022-04-01 00:00:00
April 2022 First Open Bidding Exercise,2022-04-06 00:00:00,2022,cat_e,99999.0,180.0,290.0,174.0,2,4,1,2022-04-01 00:00:00
March 2022 Second Open Bidding Exercise,2022-03-23 00:00:00,2022,cat_a,71556.0,543.0,849.0,542.0,1,3,15,2022-03-15 00:00:00
March 2022 Second Open Bidding Exercise,2022-03-23 00:00:00,2022,cat_b,98889.0,555.0,824.0,545.0,1,3,15,2022-03-15 00:00:00
March 2022 Second Open Bidding Exercise,2022-03-23 00:00:00,2022,cat_c,51504.0,91.0,166.0,91.0,1,3,15,2022-03-15 00:00:00
March 2022 Second Open Bidding Exercise,2022-03-23 00:00:00,2022,cat_d,10501.0,409.0,575.0,409.0,1,3,15,2022-03-15 00:00:00
