bidding_exercise,date,year,category,premium,quota,total_bids_received,number_of_successful_bids,quarter,month,day,new_date,total_motor_veh,cat_a,month_lag,year_lag,total_motor_veh_dereg,cat_a_dereg,gdp,quarter_lag,year_lag2,quarter_lag2,total_pop,pop_density,total_pop_growth,average_income,median_income,average_employed_income,median_employed_income,close,air_departures,birth_rate
April 2022 Second Open Bidding Exercise,2022-04-20 00:00:00,2022,cat_a,68699.0,532.0,744.0,519.0,2,4,15,2022-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,
April 2022 First Open Bidding Exercise,2022-04-06 00:00:00,2022,cat_a,72996.0,536.0,723.0,536.0,2,4,1,2022-04-01 00:00:00,,,,,,,,,,,,,,,,,,3419.11,,
March 2022 Second Open Bidding Exercise,2022-03-23 00:00:00,2022,cat_a,71556.0,543.0,849.0,542.0,1,3,15,2022-03-15 00:00:00,988194.0,320807.0,4.0,2022.0,5618.0,1641.0,,,,,,,,,,,,3236.04,565823.0,
March 2022 First Open Bidding Exercise,2022-03-09 00:00:00,2022,cat_a,68501.0,531.0,962.0,526.0,1,3,1,2022-03-01 00:00:00,988194.0,320807.0,4.0,2022.0,5618.0,1641.0,,,,,,,,,,,,3278.63,565823.0,
February 2022 Second Open Bidding Exercise,2022-02-23 00:00:00,2022,cat_a,63000.0,536.0,876.0,524.0,1,2,15,2022-02-15 00:00:00,988949.0,321375.0,3.0,2022.0,3834.0,1042.0,,,,,,,,,,,,3421.38,334406.0,
February 2022 First Open Bidding Exercise,2022-02-09 00:00:00,2022,cat_a,60761.0,542.0,819.0,542.0,1,2,1,2022-02-01 00:00:00,988949.0,321375.0,3.0,2022.0,3834.0,1042.0,,,,,,,,,,,,,334406.0,
January 2022 Second Open Bidding Exercise,2022-01-19 00:00:00,2022,cat_a,57898.0,531.0,711.0,526.0,1,1,15,2022-01-15 00:00:00,989040.0,321432.0,2.0,2022.0,4412.0,1383.0,,,,,,,,,,,,,323007.0,
January 2022 First Open Bidding Exercise,2022-01-05 00:00:00,2022,cat_a,57599.0,543.0,760.0,533.0,1,1,1,2022-01-01 00:00:00,989040.0,321432.0,2.0,2022.0,4412.0,1383.0,,,,,,,,,,,,,323007.0,
December 2021 Second Open Bidding Exercise,2021-12-22 00:00:00,2021,cat_a,58801.0,534.0,740.0,534.0,4,12,15,2021-12-15 00:00:00,988755.0,321500.0,1.0,2022.0,4165.0,1097.0,10.4,1.0,2022.0,2.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3114.88,418214.0,8.6
December 2021 First Open Bidding Exercise,2021-12-08 00:00:00,2021,cat_a,57010.0,536.0,771.0,525.0,4,12,1,2021-12-01 00:00:00,988755.0,321500.0,1.0,2022.0,4165.0,1097.0,10.4,1.0,2022.0,2.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3098.25,418214.0,8.6
November 2021 Second Open Bidding Exercise,2021-11-17 00:00:00,2021,cat_a,55001.0,537.0,706.0,535.0,4,11,15,2021-11-15 00:00:00,987965.0,321406.0,12.0,2021.0,4218.0,1198.0,10.4,1.0,2022.0,2.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3240.58,207540.0,8.6
November 2021 First Open Bidding Exercise,2021-11-03 00:00:00,2021,cat_a,53709.0,536.0,834.0,531.0,4,11,1,2021-11-01 00:00:00,987965.0,321406.0,12.0,2021.0,4218.0,1198.0,10.4,1.0,2022.0,2.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3219.05,207540.0,8.6
October 2021 Second Open Bidding Exercise,2021-10-20 00:00:00,2021,cat_a,52709.0,811.0,1304.0,806.0,4,10,15,2021-10-15 00:00:00,987450.0,321252.0,11.0,2021.0,4119.0,1243.0,10.4,1.0,2022.0,2.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3173.91,131402.0,8.6
October 2021 First Open Bidding Exercise,2021-10-06 00:00:00,2021,cat_a,47001.0,816.0,1077.0,812.0,4,10,1,2021-10-01 00:00:00,987450.0,321252.0,11.0,2021.0,4119.0,1243.0,10.4,1.0,2022.0,2.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3051.11,131402.0,8.6
September 2021 Second Open Bidding Exercise,2021-09-22 00:00:00,2021,cat_a,48000.0,803.0,1040.0,795.0,3,9,15,2021-09-15 00:00:00,986873.0,321025.0,10.0,2021.0,3920.0,1039.0,13.5,4.0,2022.0,1.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3058.61,113378.0,8.6
September 2021 First Open Bidding Exercise,2021-09-08 00:00:00,2021,cat_a,47000.0,804.0,1124.0,790.0,3,9,1,2021-09-01 00:00:00,986873.0,321025.0,10.0,2021.0,3920.0,1039.0,13.5,4.0,2022.0,1.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3087.84,113378.0,8.6
August 2021 Second Open Bidding Exercise,2021-08-18 00:00:00,2021,cat_a,46689.0,806.0,1127.0,806.0,3,8,15,2021-08-15 00:00:00,984972.0,320580.0,9.0,2021.0,4266.0,1256.0,13.5,4.0,2022.0,1.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,,111014.0,8.6
August 2021 First Open Bidding Exercise,2021-08-04 00:00:00,2021,cat_a,45189.0,805.0,1021.0,804.0,3,8,1,2021-08-01 00:00:00,984972.0,320580.0,9.0,2021.0,4266.0,1256.0,13.5,4.0,2022.0,1.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,,111014.0,8.6
July 2021 Second Open Bidding Exercise,2021-07-22 00:00:00,2021,cat_a,47010.0,836.0,1240.0,832.0,3,7,15,2021-07-15 00:00:00,983843.0,320585.0,8.0,2021.0,4125.0,1249.0,13.5,4.0,2022.0,1.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3139.98,105118.0,8.6
July 2021 First Open Bidding Exercise,2021-07-07 00:00:00,2021,cat_a,45001.0,867.0,1149.0,864.0,3,7,1,2021-07-01 00:00:00,983843.0,320585.0,8.0,2021.0,4125.0,1249.0,13.5,4.0,2022.0,1.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3124.19,105118.0,8.6
June 2021 Second Open Bidding Exercise,2021-06-23 00:00:00,2021,cat_a,47821.0,830.0,1178.0,823.0,2,6,15,2021-06-15 00:00:00,982459.0,320236.0,7.0,2021.0,5344.0,1864.0,23.1,3.0,2021.0,4.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3174.87,99250.0,8.6
