bidding_exercise,date_x,year,category,premium,quota,total_bids_received,number_of_successful_bids,quarter,month,day,new_date,total_motor_veh,cat_a,month_lag_x,year_lag_x,total_motor_veh_dereg,cat_a_dereg,date_y,month_lag_y,year_lag_y,gdp,year_lag,quarter_lag,year_lag2,quarter_lag2,total_pop,pop_density,total_pop_growth,average_income,median_income,average_employed_income,median_employed_income,close,day_lag,month_lag,air_departures,birth_rate
April 2022 Second Open Bidding Exercise,2022-04-20 00:00:00,2022,cat_a,68699.0,532.0,744.0,519.0,2,4,15,2022-04-15 00:00:00,988194.0,320807.0,4,2022,5618.0,1641.0,2022-03-01,4,2022,10.4,2022,1,2022,2,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3225.7940000000003,15,4,565823.0,8.6
April 2022 First Open Bidding Exercise,2022-04-06 00:00:00,2022,cat_a,72996.0,536.0,723.0,536.0,2,4,1,2022-04-01 00:00:00,988194.0,320807.0,4,2022,5618.0,1641.0,2022-03-01,4,2022,10.4,2022,1,2022,2,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3367.740769230769,1,4,565823.0,8.6
March 2022 Second Open Bidding Exercise,2022-03-23 00:00:00,2022,cat_a,71556.0,543.0,849.0,542.0,1,3,15,2022-03-15 00:00:00,988949.0,321375.0,3,2022,3834.0,1042.0,2022-02-01,3,2022,13.5,2021,4,2022,1,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3389.2262499999997,15,3,334406.0,8.6
March 2022 First Open Bidding Exercise,2022-03-09 00:00:00,2022,cat_a,68501.0,531.0,962.0,526.0,1,3,1,2022-03-01 00:00:00,988949.0,321375.0,3,2022,3834.0,1042.0,2022-02-01,3,2022,13.5,2021,4,2022,1,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3377.386,1,3,334406.0,8.6
February 2022 Second Open Bidding Exercise,2022-02-23 00:00:00,2022,cat_a,63000.0,536.0,876.0,524.0,1,2,15,2022-02-15 00:00:00,989040.0,321432.0,2,2022,4412.0,1383.0,2022-01-01,2,2022,13.5,2021,4,2022,1,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3213.605,15,2,323007.0,8.6
February 2022 First Open Bidding Exercise,2022-02-09 00:00:00,2022,cat_a,60761.0,542.0,819.0,542.0,1,2,1,2022-02-01 00:00:00,989040.0,321432.0,2,2022,4412.0,1383.0,2022-01-01,2,2022,13.5,2021,4,2022,1,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3272.7490909090907,1,2,323007.0,8.6
January 2022 Second Open Bidding Exercise,2022-01-19 00:00:00,2022,cat_a,57898.0,531.0,711.0,526.0,1,1,15,2022-01-15 00:00:00,988755.0,321500.0,1,2022,4165.0,1097.0,2021-12-01,1,2022,13.5,2021,4,2022,1,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3119.214,15,1,418214.0,8.6
January 2022 First Open Bidding Exercise,2022-01-05 00:00:00,2022,cat_a,57599.0,543.0,760.0,533.0,1,1,1,2022-01-01 00:00:00,988755.0,321500.0,1,2022,4165.0,1097.0,2021-12-01,1,2022,13.5,2021,4,2022,1,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3109.7653846153844,1,1,418214.0,8.6
December 2021 Second Open Bidding Exercise,2021-12-22 00:00:00,2021,cat_a,58801.0,534.0,740.0,534.0,4,12,15,2021-12-15 00:00:00,987965.0,321406.0,12,2021,4218.0,1198.0,2021-11-01,12,2021,23.1,2021,3,2021,4,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3235.4011111111113,15,12,207540.0,8.5
December 2021 First Open Bidding Exercise,2021-12-08 00:00:00,2021,cat_a,57010.0,536.0,771.0,525.0,4,12,1,2021-12-01 00:00:00,987965.0,321406.0,12,2021,4218.0,1198.0,2021-11-01,12,2021,23.1,2021,3,2021,4,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3201.903333333333,1,12,207540.0,8.5
