premium,LSTM_Prediction,GRU_Predictions,GRU_Multi_Predictions,GRU_Multi2_Predictions,GRU_Multi3_Predictions
26170.0,28209.459,26900.83,25025.610749721527,22962.08383101225,24331.04475939274
25689.0,27569.479,27400.701,25585.089152634144,23203.277356505394,25115.272984683514
26301.0,27106.443,27281.145,25295.39617228508,22835.124774187803,24988.51566582918
26309.0,26771.682,27505.58,25378.877265632153,22862.297643631697,25112.907023727894
26659.0,26542.412,27665.11,25548.449694633484,23181.73942655325,24957.025329351425
29159.0,26388.754,27930.49,25842.001771390438,23330.71262472868,25138.540097236633
33199.0,26053.297,29593.922,27369.830665051937,24481.20093804598,26619.283074200153
36704.0,26329.26,33056.527,30116.395690083504,27625.047038018703,29328.2946447134
27000.0,27031.45,37000.67,33639.68483686447,31605.60342758894,32595.64829814434
30009.0,27908.025,32099.188,29857.836230754852,27068.34356147051,29360.311970174313
26999.0,28860.074,31116.441,29048.16157388687,26340.563541531563,28995.849683105946
28589.0,29713.69,29408.158,27286.923221170902,24870.13802075386,26948.266925871372
26667.0,30475.479,29603.326,27147.059796094894,25085.366359889507,26629.990282654762
32725.0,30919.473,28758.316,26089.066283524036,24251.7795779109,25581.048903763294
31917.0,31317.248,32052.78,29886.49949091673,27399.572605788708,28592.3819770813
31783.0,31495.645,33477.918,31125.005943357944,28581.216398000717,30270.693672776222
31759.0,31566.508,33637.39,31281.164855897427,28823.07414919138,31408.454653203487
34001.0,31698.668,33522.703,31063.61996102333,28853.362292051315,31216.059758603573
32309.0,31897.139,34927.934,32776.63333231211,30140.219983696938,32500.161737024784
30000.0,32156.982,34530.67,32424.168278813362,29762.459459006786,32074.28602027893
32000.0,32392.188,32630.99,30422.933104753494,28053.543976008892,30108.92177861929
33009.0,32633.252,33048.316,31014.58253824711,28650.166868031025,30486.05101442337
32889.0,32858.684,34184.527,31718.73039597273,29838.494088232517,30965.00989228487
35320.0,33082.43,34610.03,31591.583324849606,30196.006708085537,30858.437349379063
35010.0,33442.84,36288.727,33445.59369647503,31952.614694058895,32621.909915804863
30010.0,34021.938,36854.23,34052.33093434572,32464.562533318996,33446.94685047865
32999.0,34683.344,33561.547,31121.70402801037,29225.88586372137,30878.973451316357
32699.0,34837.785,33887.34,31939.59641933441,29720.827329337597,31461.208446204662
31210.0,35016.336,34294.21,32128.280433177948,30396.55346351862,31857.78686916828
31210.0,34939.62,33452.402,31341.977188766003,29585.347244918346,31261.24357444048
31210.0,34804.137,32980.742,30940.444520413876,28918.291726350784,31792.615898251534
